pid,title,position,party,electorate,twitter,facebook,email,phone,aph
848,Mr Patrick Secker MP,Opposition Whip,Liberal Party of Australia,"Barker, South Australia",http://twitter.com/patrickseckermp,http://www.facebook.com/patrick.secker,P.Secker@aph.gov.au,(08) 8531 2466,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=848
885,The Hon Malcolm Turnbull MP,,Liberal Party of Australia,"Wentworth, New South Wales",http://twitter.com/TurnbullMalcolm,http://www.facebook.com/pages/Malcolm-Turnbull/53772921578,Malcolm.Turnbull.MP@aph.gov.au,(02) 9327 3988,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=885
91219,Mr Ed Husic MP,Government Whip,Australian Labor Party,"Chifley, New South Wales",http://twitter.com/edhusicmp,http://www.facebook.com/ehusic,,(02) 9625 4344,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=91219
96430,Mr Ewen Jones MP,,Liberal Party of Australia,"Herbert, Queensland",http://twitter.com/EwenJonesMP,http://www.facebook.com/ewenjonesmp,,(07) 4725 2066,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=96430
99931,Mr Craig Kelly MP,,Liberal Party of Australia,"Hughes, New South Wales",http://twitter.com/CraigKellyMP,http://www.facebook.com/CraigKellyMP,,(02) 9521 6262,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=99931
139441,Mr Ken O'Dowd MP,,The Nationals,"Flynn, Queensland",,,,(07) 4972 5465,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=139441
140651,Ms Deb O'Neill MP,,Australian Labor Party,"Robertson, New South Wales",http://twitter.com/Deborah_ONeill,http://www.facebook.com/DebONeillMP,deborah.o'neill.mp@aph.gov.au,(02) 4322 1922,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=140651
188315,Mr Bert Van Manen MP,,Liberal Party of Australia,"Forde, Queensland",http://twitter.com/bertvanmanen/,,,(07) 3807 6340,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=188315
210911,Mr Dan Tehan MP,,Liberal Party of Australia,"Wannon, Victoria",http://twitter.com/DanTehanWannon,http://www.facebook.com/dan.tehan.mp?v=wall,,(03) 5572 1100,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=210911
217266,Mrs Jane Prentice MP,,Liberal Party of Australia,"Ryan, Queensland",http://twitter.com/JanePrentice_MP,http://www.facebook.com/janeprenticemp,jane.prentice.mp@aph.gov.au,(07) 3378 1599,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=217266
219646,Mr Michael McCormack MP,,The Nationals,"Riverina, New South Wales",,http://www.facebook.com/people/Michael-McCormack/100002102184276,,(02) 6921 4600,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=219646
220370,Mrs Natasha Griggs MP,,Country Liberal Party,"Solomon, Northern Territory",http://twitter.com/natashagriggsmp,http://www.facebook.com/natashagriggsmp,,(08) 8981 3434,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=220370
230485,Mr George Christensen MP,,The Nationals,"Dawson, Queensland",http://twitter.com/GChristensenMP,,,(07) 4944 0662,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230485
230531,Mr Scott Buchholz MP,,Liberal Party of Australia,"Wright, Queensland",http://twitter.com/ScottBuchholzMP,http://www.facebook.com/SBuchholzMP,,(07) 5541 0150,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230531
230886,Mrs Karen Andrews MP,,Liberal Party of Australia,"McPherson, Queensland",http://twitter.com/karenandrewsmp,http://www.facebook.com/pages/Karen-Andrews-MP/150255771679533?ref=ts,,(07) 5580 9111,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=230886
008K0,The Hon Anthony Byrne MP,,Australian Labor Party,"Holt, Victoria",http://twitter.com/AnthonyByrne_MP,http://www.facebook.com/anthonybyrne,Anthony.Byrne.MP@aph.gov.au,(03) 9796 7533,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=008K0
009LP,Mr Tony Windsor MP,,Independent,"New England, New South Wales",,,Tony.Windsor.MP@aph.gov.au,(02) 6761 3080,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=009LP
00AKI,The Hon Peter Dutton MP,,Liberal Party of Australia,"Dickson, Queensland",http://twitter.com/peter_dutton,http://www.facebook.com/peterduttonmp,Peter.Dutton.MP@aph.gov.au,(07) 3205 9977,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AKI
00AMM,Mr Luke Hartsuyker MP,,The Nationals,"Cowper, New South Wales",,,Luke.Hartsuyker.MP@aph.gov.au,(02) 6652 6233,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMM
00AMN,The Hon Sussan Ley MP,,Liberal Party of Australia,"Farrer, New South Wales",http://twitter.com/sussanley,http://www.facebook.com/pages/Sussan-Ley-MP/198830586850988,Sussan.Ley.MP@aph.gov.au,(02) 6021 3264,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMN
00AMT,Ms Maria Vamvakinou MP,,Australian Labor Party,"Calwell, Victoria",http://twitter.com/MariaVamvakinou,http://en-gb.facebook.com/people/Maria-Vamvakinou-Mp/100000798112750,Maria.Vamvakinou.MP@aph.gov.au,(03) 9309 3655,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMT
00AMU,Mrs Sophie Mirabella MP,,Liberal Party of Australia,"Indi, Victoria",http://twitter.com/SMirabellaMP,http://www.facebook.com/profile.php?id=1161123891,Sophie.Mirabella.MP@aph.gov.au,(03) 5721 5377,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMU
00AMV,The Hon Greg Hunt MP,,Liberal Party of Australia,"Flinders, Victoria",http://www.twitter.com/greghuntmp,http://www.facebook.com/greg.hunt.mp,Greg.Hunt.MP@aph.gov.au,(03) 5979 3188,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMV
00AN0,Mr Steven Ciobo MP,,Liberal Party of Australia,"Moncrieff, Queensland",http://twitter.com/steveciobo,,,(07) 5504 6000,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AN0
00AN1,The Hon John Cobb MP,,The Nationals,"Calare, New South Wales",,,John.Cobb.MP@aph.gov.au,(02) 6361 7138,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AN1
00APG,The Hon Tony Smith MP,,Liberal Party of Australia,"Casey, Victoria",http://twitter.com/TonySmithMP,,Tony.Smith.MP@aph.gov.au,(03) 9727 0799,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00APG
0J4,The Hon Philip Ruddock MP,,Liberal Party of Australia,"Berowra, New South Wales",,,,(02) 9980 1822,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=0J4
1K6,The Hon Bruce Billson MP,,Liberal Party of Australia,"Dunkley, Victoria",http://twitter.com/BruceBillsonMP,http://www.facebook.com/profile.php?id=100001833476620,B.Billson.MP@aph.gov.au,(03) 9781 2333,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=1K6
4T4,Mr Daryl Melham MP,,Australian Labor Party,"Banks, New South Wales",,,D.Melham.MP@aph.gov.au,(02) 9774 2111,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=4T4
4V5,The Hon Judi Moylan MP,,Liberal Party of Australia,"Pearce, Western Australia",,,J.Moylan.MP@aph.gov.au,(08) 9294 3222,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=4V5
7K6,The Hon Warren Entsch MP,Chief Opposition Whip,Liberal Party of Australia,"Leichhardt, Queensland",,,,(07) 4051 2220,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=7K6
83D,The Hon John Murphy MP,,Australian Labor Party,"Reid, New South Wales",,,,(02) 9745 4433,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83D
83E,The Hon Bernie Ripoll MP,Parliamentary Secretary to the Treasurer,Australian Labor Party,"Oxley, Queensland",http://twitter.com/bernieripoll_mp,http://www.facebook.com/pages/Bernie-Ripoll/47126097966,Bernie.Ripoll.MP@aph.gov.au,(07) 38796440,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83E
83L,The Hon Julia Gillard MP,Prime Minister,Australian Labor Party,"Lalor, Victoria",http://twitter.com/JuliaGillard,http://www.facebook.com/juliagillard,,(03) 9742 5800,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83L
83Q,Mr Alby Schultz MP,,Liberal Party of Australia,"Hume, New South Wales",,,Alby.Schultz.MP@aph.gov.au,02-4822 2277,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83Q
83S,Ms Anna Burke MP,Deputy Speaker,Australian Labor Party,"Chisholm, Victoria",,,Anna.Burke.MP@aph.gov.au,(03) 9802 0566,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83S
83T,The Hon Kevin Rudd MP,,Australian Labor Party,"Griffith, Queensland",http://twitter.com/KRuddMP,http://www.facebook.com/KevinRuddMP,,(07) 3899 4031,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83T
83V,The Hon Dr Craig Emerson MP,Minister for Trade and Competitiveness,Australian Labor Party,"Rankin, Queensland",,,,(07) 3299 5910,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83V
84F,Dr Mal Washer MP,,Liberal Party of Australia,"Moore, Western Australia",,,Mal.Washer.MP@aph.gov.au,(08) 9300 2244,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=84F
8K6,The Hon Joel Fitzgibbon MP,Chief Government Whip,Australian Labor Party,"Hunter, New South Wales",http://twitter.com/fitzhunter,,J.Fitzgibbon.MP@aph.gov.au,(02) 4991 1022,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=8K6
9K6,The Hon Teresa Gambaro MP,,Liberal Party of Australia,"Brisbane, Queensland",http://twitter.com/TeresaGambaroMP,http://www.facebook.com/teresagambaro,,(07) 3356 1555,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=9K6
9V5,The Hon Christopher Pyne MP,Manager of Opposition Business,Liberal Party of Australia,"Sturt, South Australia",,http://www.facebook.com/christopher.pyne,C.Pyne.MP@aph.gov.au,(08) 8431 2277,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=9V5
AK6,Mrs Joanna Gash MP,,Liberal Party of Australia,"Gilmore, New South Wales",http://twitter.com/JoGash,http://www.facebook.com/joanna.gash,Joanna.Gash.MP@aph.gov.au,(02) 4423 1782,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=AK6
BV5,The Hon Dick Adams MP,,Australian Labor Party,"Lyons, Tasmania",,,,(03) 6398 1115,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=BV5
DK6,The Hon Joe Hockey MP,,Liberal Party of Australia,"North Sydney, New South Wales",http://twitter.com/JoeHockey,http://www.facebook.com/joehockey,J.Hockey.MP@aph.gov.au,(02) 9929 9822,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DK6
